r/mm,z/mm
0.918156515543682,2.5747199777716
0.940932051127178,2.5673344277312
0.963707586710674,2.56017126114128
0.98648312229417,2.55321853738939
1.00925865787767,2.5464652886241
1.03203419346116,2.53990145623832
1.05480972904466,2.53351776172188
1.07758526462815,2.52730560322579
1.10036080021165,2.52125700061605
1.12313633579515,2.5153645591318
1.14591187137864,2.50962139654286
1.16868740696214,2.5040210813512
1.19146294254563,2.49855760013018
1.21423847812913,2.49322533541554
1.23701401371263,2.48801902191254
1.25978954929612,2.482933707498
1.28256508487962,2.47796473270954
1.30534062046312,2.47310771662195
1.32811615604661,2.46835852915375
1.35089169163011,2.46371326534867
1.3736672272136,2.45916823191041
1.3964427627971,2.4547199378141
1.4192182983806,2.45036507606057
1.44199383396409,2.44610050608826
1.46476936954759,2.4419232446039
1.48754490513108,2.43783045913208
1.51032044071458,2.43381945557934
1.53309597629808,2.42988766583416
1.55587151188157,2.42603264132846
1.57864704746507,2.42225204848069
1.60142258304856,2.41854365997445
1.62419811863206,2.41490534578654
1.64697365421556,2.4113350685463
1.66974918979905,2.40783088023878
1.69252472538255,2.40439091593797
1.71530026096605,2.40101338716818
1.73807579654954,2.39769657848316
1.76085133213304,2.39443884503118
1.78362686771653,2.39123860795672
1.80640240330003,2.38809434939149
1.82917793888353,2.3850046098828
1.85195347446702,2.38196798656257
1.87472901005052,2.37898312971101
1.89750454563401,2.37604873891187
1.92028008121751,2.37316356108546
1.94305561680101,2.37032638908992
1.9658311523845,2.36753605911157
1.988606687968,2.36479144766855
2.01138222355149,2.36209147008307
2.03415775913499,2.35943507939771
2.05693329471849,2.3568212643653
2.07970883030198,2.35424904708154
2.10248436588548,2.35171748178217
2.12525990146897,2.3492256539927
2.14803543705247,2.34677267896023
2.17081097263597,2.34435769976006
2.19358650821946,2.34197988633692
2.21636204380296,2.33963843483019
2.23913757938646,2.33733256633657
2.26191311496995,2.33506152537885
2.28468865055345,2.33282457913313
2.30746418613694,2.33062101688776
2.33023972172044,2.32845014905709
2.35301525730394,2.32631130593046
2.37579079288743,2.32420383704299
2.39856632847093,2.32212711073786
2.42134186405442,2.32008051337256
2.44411739963792,2.31806344828757
2.46689293522142,2.31607533528929
2.48966847080491,2.31411561029272
2.51244400638841,2.31218372467742
2.5352195419719,2.31027914442993
2.5579950775554,2.30840134971526
2.5807706131389,2.30654983458298
2.60354614872239,2.30472410644053
2.62632168430589,2.30292368533458
2.64909721988939,2.30114810359311
2.67187275547288,2.29939690558191
2.69464829105638,2.29766964727081
2.71742382663987,2.29596589562708
2.74019936222337,2.29428522831438
2.76297489780687,2.29262723348964
2.78575043339036,2.29099150944345
2.80852596897386,2.28937766408467
2.83130150455735,2.28778531468546
2.85407704014085,2.28621408771084
2.87685257572435,2.28466361851872
2.89962811130784,2.28313355091935
2.92240364689134,2.28162353695796
2.94517918247483,2.28013323677096
2.96795471805833,2.27866231833436
2.99073025364183,2.27721045708488
3.01350578922532,2.27577733573374
3.03628132480882,2.2743626441446
3.05905686039231,2.27296607912145
3.08183239597581,2.27158734408109
3.10460793155931,2.27022614889262
3.1273834671428,2.26888220977342
3.1501590027263,2.26755524910939
3.1729345383098,2.26624499517044
3.19571007389329,2.26495118197144
3.21848560947679,2.26367354918307
3.24126114506028,2.26241184197896
3.26403668064378,2.26116581078721
3.28681221622728,2.25993521116942
3.30958775181077,2.25871980374403
3.33236328739427,2.2575193540556
3.35513882297776,2.25633363235704
3.37791435856126,2.25516241350379
3.40068989414476,2.25400547688763
3.42346542972825,2.25286260632452
3.44624096531175,2.25173358986284
3.46901650089524,2.25061821969055
3.49179203647874,2.24951629207772
3.51456757206224,2.24842760728001
3.53734310764573,2.24735196936914
3.56011864322923,2.24628918615106
3.58289417881273,2.24523906911597
3.60566971439622,2.24420143335485
3.62844524997972,2.24317609740912
3.65122078556321,2.24216288319824
3.67399632114671,2.24116161597603
3.69677185673021,2.24017212425833
3.7195473923137,2.23919423968916
3.7423229278972,2.23822779697644
3.76509846348069,2.2372726338537
3.78787399906419,2.23632859101724
3.81064953464769,2.23539551200648
3.83342507023118,2.23447324314678
3.85620060581468,2.2335616335158
3.87897614139817,2.23266053488862
3.90175167698167,2.23176980163062
3.92452721256516,2.23088929064635
3.94730274814866,2.23001886134984
3.97007828373216,2.2291583756167
3.99285381931565,2.22830769768776
4.01562935489915,2.22746669412331
4.03840489048264,2.22663523377685
4.06118042606614,2.22581318775307
4.08395596164964,2.22500042932103
4.10673149723313,2.22419683387303
4.12950703281663,2.22340227890137
4.15228256840012,2.22261664396136
4.17505810398362,2.22183981059296
4.19783363956712,2.22107166228364
4.22060917515061,2.22031208444775
4.24338471073411,2.21956096439398
4.26616024631761,2.2188181912543
4.2889357819011,2.21808365595047
4.3117113174846,2.21735725117566
4.33448685306809,2.21663887136568
4.35726238865159,2.2159284126345
4.38003792423508,2.21522577274391
4.40281345981858,2.21453085108709
4.42558899540208,2.21384354866319
4.44836453098557,2.21316376801861
4.47114006656907,2.21249141321951
4.49391560215257,2.21182638983707
4.51669113773606,2.21116860492496
4.53946667331956,2.21051796696581
4.56224220890305,2.20987438584618
4.58501774448655,2.20923777284334
4.60779328007005,2.20860804060527
4.63056881565354,2.20798510310175
4.65334435123704,2.20736887560151
4.67611988682053,2.20675927466039
4.69889542240403,2.20615621810353
4.72167095798753,2.20555962498057
4.74444649357102,2.20496941554477
4.76722202915452,2.20438551124239
4.78999756473801,2.2038078346968
4.81277310032151,2.20323630966734
4.83554863590501,2.20267086103031
4.8583241714885,2.20211141476926
4.881099707072,2.20155789796089
4.90387524265549,2.20101023873727
4.92665077823899,2.20046836626829
4.94942631382248,2.199932210753
4.97220184940598,2.19940170340697
4.99497738498948,2.19887677642746
5.01775292057297,2.19835736297739
5.04052845615647,2.19784339717742
5.06330399173997,2.19733481409468
5.08607952732346,2.19683154971063
5.10885506290696,2.19633354090632
5.13163059849045,2.19584072545524
5.15440613407395,2.19535304201314
5.17718166965745,2.19487043008843
5.19995720524094,2.19439283002855
5.22273274082444,2.19392018301346
5.24550827640793,2.19345243104656
5.26828381199143,2.19298951692728
5.29105934757493,2.19253138423846
5.31383488315842,2.19207797734051
5.33661041874192,2.19162924136318
5.35938595432541,2.19118512218021
5.38216148990891,2.19074556639765
5.4049370254924,2.19031052134853
5.4277125610759,2.1898799350855
5.4504880966594,2.18945375635722
5.47326363224289,2.18903193459769
5.49603916782639,2.18861441992126
5.51881470340989,2.18820116311604
5.54159023899338,2.18779211562204
5.56436577457688,2.18738722952114
5.58714131016037,2.18698645753269
5.60991684574387,2.18658975300745
5.63269238132737,2.1861970699073
5.65546791691086,2.18580836279595
5.67824345249436,2.18542358683488
5.70101898807785,2.1850426977779
5.72379452366135,2.18466565195225
5.74657005924484,2.18429240624995
5.76934559482834,2.1839229181241
5.79212113041184,2.18355714558396
5.81489666599533,2.18319504717732
5.83767220157883,2.18283658198249
5.86044773716232,2.18248170960483
5.88322327274582,2.18213039017241
5.90599880832932,2.18178258431945
5.92877434391281,2.18143825317893
5.95154987949631,2.18109735837939
5.9743254150798,2.18075986204095
5.9971009506633,2.18042572675995
6.0198764862468,2.18009491560192
6.04265202183029,2.17976739209876
6.06542755741379,2.17944312024508
6.08820309299729,2.17912206448382
6.11097862858078,2.17880418969973
6.13375416416428,2.17848946121676
6.15652969974777,2.17817784479471
6.17930523533127,2.17786930661582
6.20208077091476,2.17756381327865
6.22485630649826,2.17726133179565
6.24763184208176,2.1769618295902
6.27040737766525,2.17666527448395
6.29318291324875,2.17637163469115
6.31595844883224,2.17608087881643
6.33873398441574,2.17579297585203
6.36150951999924,2.17550789516601
6.38428505558273,2.17522560649692
6.40706059116623,2.17494607995171
6.42983612674973,2.17466928600327
6.45261166233322,2.17439519547933
6.47538719791672,2.17412377955747
6.49816273350021,2.17385500976319
6.52093826908371,2.17358885796767
6.54371380466721,2.17332529637738
6.5664893402507,2.17306429752931
6.5892648758342,2.17280583428929
6.61204041141769,2.1725498798499
6.63481594700119,2.17229640772066
6.65759148258469,2.17204539172367
6.68036701816818,2.17179680599191
6.70314255375168,2.17155062496747
6.72591808933517,2.17130682339222
6.74869362491867,2.17106537630378
6.77146916050216,2.17082625903391
6.79424469608566,2.17058944720689
6.81702023166916,2.1703549167308
6.83979576725265,2.17012264379362
6.86257130283615,2.16989260486186
6.88534683841965,2.16966477667899
6.90812237400314,2.16943913625727
6.93089790958664,2.16921566087407
6.95367344517013,2.16899432807061
6.97644898075363,2.16877511565049
6.99922451633712,2.16855800167203
7.02200005192062,2.16834296444481
7.04477558750412,2.16812998252842
7.06755112308761,2.16791903473124
7.09032665867111,2.16771010010311
7.1131021942546,2.16750315793209
7.1358777298381,2.16729818774337
7.1586532654216,2.16709516929806
7.18142880100509,2.16689408258631
7.20420433658859,2.16669490782431
7.22697987217208,2.16649762545315
7.24975540775558,2.16630221613785
7.27253094333908,2.16610866076076
7.29530647892257,2.16591694041878
7.31808201450607,2.1657270364223
7.34085755008957,2.16553893029426
7.36363308567306,2.16535260376402
7.38640862125656,2.1651680387646
7.40918415684005,2.16498521743179
7.43195969242355,2.16480412210328
7.45473522800705,2.16462473531282
7.47751076359054,2.16444703978763
7.50028629917404,2.16427101844762
7.52306183475753,2.1640966544045
7.54583737034103,2.16392393095632
7.56861290592453,2.16375283158505
7.59138844150802,2.16358333995573
7.61416397709152,2.16341543991582
7.63693951267501,2.1632491154899
7.65971504825851,2.16308435087741
7.68249058384201,2.16292113045193
7.7052661194255,2.16275943876046
7.728041655009,2.16259926051851
7.75081719059249,2.16244058060792
7.77359272617599,2.16228338407617
7.79636826175948,2.16212765613575
7.81914379734298,2.16197338215949
7.84191933292648,2.16182054767852
7.86469486850997,2.16166913838156
7.88747040409347,2.16151914011442
7.91024593967696,2.16137053887555
7.93302147526046,2.16122332081406
7.95579701084396,2.16107747222911
7.97857254642745,2.16093297956946
8.00134808201095,2.16078982942919
8.02412361759445,2.16064800854585
8.04689915317794,2.16050750379996
8.06967468876144,2.16036830221446
8.09245022434493,2.16023039095077
8.11522575992843,2.16009375730699
8.13800129551193,2.15995838871741
8.16077683109542,2.15982427275204
8.18355236667892,2.15969139711285
8.20632790226241,2.1595597496321
8.22910343784591,2.15942931827179
8.25187897342941,2.15930009112334
8.2746545090129,2.15917205640394
8.2974300445964,2.15904520245499
8.32020558017989,2.1589195177416
8.34298111576339,2.15879499085227
8.36575665134689,2.15867161049544
8.38853218693038,2.15854936549799
8.41130772251388,2.15842824480481
8.43408325809737,2.15830823747847
8.45685879368087,2.15818933269594
8.47963432926437,2.1580715197472
8.50240986484786,2.15795478803479
8.52518540043136,2.15783912707355
8.54796093601485,2.15772452648748
8.57073647159835,2.15761097600842
8.59351200718185,2.15749846547562
8.61628754276534,2.15738698483552
8.63906307834884,2.15727652413874
8.66183861393233,2.15716707353886
8.68461414951583,2.15705862329198
8.70738968509932,2.15695116375653
8.73016522068282,2.15684468539044
8.75294075626632,2.1567391787499
8.77571629184981,2.15663463448905
8.79849182743331,2.1565310433597
8.8212673630168,2.15642839620874
8.8440428986003,2.15632668397686
8.8668184341838,2.15622589769834
8.88959396976729,2.15612602850077
8.91236950535079,2.15602706760251
8.93514504093429,2.15592900631161
8.95792057651778,2.1558318360255
8.98069611210128,2.15573554823076
9.00347164768477,2.15564013450074
9.02624718326827,2.15554558649447
9.04902271885177,2.15545189595641
9.07179825443526,2.15535905471624
9.09457379001876,2.15526705468655
9.11734932560225,2.15517588786187
9.14012486118575,2.15508554631835
9.16290039676925,2.15499602221363
9.18567593235274,2.15490730778464
9.20845146793624,2.15481939534662
9.23122700351973,2.15473227729287
9.25400253910323,2.15464594609462
9.27677807468672,2.15456039429892
9.29955361027022,2.15447561452771
9.32232914585372,2.15439159947759
9.34510468143721,2.15430834191972
9.36788021702071,2.15422583469773
9.39065575260421,2.15414407072696
9.4134312881877,2.15406304299412
9.4362068237712,2.15398274455725
9.45898235935469,2.1539031685438
9.48175789493819,2.15382430814973
9.50453343052168,2.15374615663936
9.52730896610518,2.15366870734528
9.55008450168868,2.15359195366643
9.57286003727217,2.15351588906739
9.59563557285567,2.15344050707814
9.61841110843916,2.15336580129398
9.64118664402266,2.15329176537378
9.66396217960616,2.15321839303918
9.68673771518965,2.15314567807447
9.70951325077315,2.15307361432646
9.73228878635664,2.1530021957028
9.75506432194014,2.1529314161713
9.77783985752364,2.15286126975969
9.80061539310713,2.15279175055561
9.82339092869063,2.15272285270496
9.84616646427413,2.15265457041122
9.86894199985762,2.1525868979353
9.89171753544112,2.15251982959544
9.91449307102461,2.15245335976573
9.93726860660811,2.15238748287539
9.96004414219161,2.15232219340864
9.9828196777751,2.15225748590466
10.0055952133586,2.15219335495608
10.0283707489421,2.1521297952084
10.0511462845256,2.15206680135979
10.0739218201091,2.15200436816107
10.0966973556926,2.1519424904143
10.1194728912761,2.15188116297217
10.1422484268596,2.15182038073787
10.1650239624431,2.15176013866504
10.1877994980266,2.15170043175643
10.2105750336101,2.1516412550633
10.2333505691936,2.15158260368532
10.2561261047771,2.15152447277053
10.2789016403605,2.15146685751402
10.301677175944,2.1514097531574
10.3244527115275,2.15135315498869
10.347228247111,2.15129705834226
10.3700037826945,2.1512414585976
10.392779318278,2.15118635117882
10.4155548538615,2.1511317315545
10.438330389445,2.15107759523768
10.4611059250285,2.15102393778465
10.483881460612,2.15097075479452
10.5066569961955,2.150918041909
10.529432531779,2.15086579481247
10.5522080673625,2.1508140092308
10.574983602946,2.15076268093088
10.5977591385295,2.15071180572051
10.620534674113,2.15066137944839
10.6433102096965,2.15061139800302
10.66608574528,2.15056185731227
10.6888612808635,2.15051275334323
10.711636816447,2.15046408210225
10.7344123520305,2.15041583963384
10.757187887614,2.1503680220203
10.7799634231975,2.15032062538154
10.802738958781,2.15027364587517
10.8255144943645,2.15022707969538
10.8482900299479,2.15018092307265
10.8710655655314,2.15013517227357
10.8938411011149,2.15008982360082
10.9166166366984,2.15004487339231
10.9393921722819,2.15000031802068
10.9621677078654,2.14995615389325
10.9849432434489,2.14991237745203
11.0077187790324,2.14986898517277
11.0304943146159,2.14982597356461
11.0532698501994,2.14978333916996
11.0760453857829,2.14974107856452
11.0988209213664,2.1496991883564
11.1215964569499,2.14965766518575
11.1443719925334,2.14961650572468
11.1671475281169,2.14957570667724
11.1899230637004,2.14953526477861
11.2126985992839,2.14949517679472
11.2354741348674,2.14945543952219
11.2582496704509,2.14941604978833
11.2810252060344,2.14937700445032
11.3038007416179,2.14933830039488
11.3265762772014,2.1492999345382
11.3493518127849,2.14926190382594
11.3721273483684,2.14922420523244
11.3949028839519,2.14918683576043
11.4176784195353,2.14914979244094
11.4404539551188,2.14911307233329
11.4632294907023,2.14907667252436
11.4860050262858,2.1490405901283
11.5087805618693,2.14900482228643
11.5315560974528,2.14896936616727
11.5543316330363,2.14893421896581
11.5771071686198,2.14889937790321
11.5998827042033,2.14886484022677
11.6226582397868,2.14883060320989
11.6454337753703,2.14879666415143
11.6682093109538,2.14876302037538
11.6909848465373,2.14872966923085
11.7137603821208,2.14869660809201
11.7365359177043,2.14866383435752
11.7593114532878,2.14863134545018
11.7820869888713,2.14859913881692
11.8048625244548,2.14856721192877
11.8276380600383,2.14853556228027
11.8504135956218,2.14850418738918
11.8731891312053,2.14847308479645
11.8959646667888,2.14844225206618
11.9187402023723,2.14841168678509
11.9415157379558,2.14838138656218
11.9642912735393,2.14835134902877
11.9870668091227,2.14832157183842
12.0098423447062,2.14829205266643
12.0326178802897,2.14826278920955
12.0553934158732,2.14823377918592
12.0781689514567,2.14820502033515
12.1009444870402,2.14817651041765
12.1237200226237,2.14814824721453
12.1464955582072,2.14812022852744
12.1692710937907,2.14809245217864
12.1920466293742,2.14806491601044
12.2148221649577,2.14803761788502
12.2375977005412,2.14801055568432
12.2603732361247,2.1479837273101
12.2831487717082,2.14795713068341
12.3059243072917,2.14793076374436
12.3286998428752,2.14790462445211
12.3514753784587,2.14787871078487
12.3742509140422,2.14785302073938
12.3970264496257,2.14782755233075
12.4198019852092,2.14780230359237
12.4425775207927,2.14777727257596
12.4653530563762,2.14775245735108
12.4881285919597,2.14772785600494
12.5109041275432,2.14770346664235
12.5336796631267,2.14767928738574
12.5564551987101,2.1476553163747
12.5792307342936,2.14763155176579
12.6020062698771,2.14760799173251
12.6247818054606,2.14758463446531
12.6475573410441,2.14756147817115
12.6703328766276,2.1475385210733
12.6931084122111,2.14751576141135
12.7158839477946,2.14749319744117
12.7386594833781,2.14747082743454
12.7614350189616,2.14744864967891
12.7842105545451,2.14742666247745
12.8069860901286,2.14740486414898
12.8297616257121,2.14738325302763
12.8525371612956,2.14736182746262
12.8753126968791,2.14734058581828
12.8980882324626,2.14731952647401
12.9208637680461,2.14729864782393
12.9436393036296,2.1472779482767
12.9664148392131,2.1472574262555
12.9891903747966,2.14723708019803
13.0119659103801,2.14721690855614
13.0347414459636,2.14719690979569
13.0575169815471,2.1471770823965
13.0802925171306,2.14715742485236
13.1030680527141,2.1471379356707
13.1258435882975,2.14711861337241
13.148619123881,2.14709945649183
13.1713946594645,2.14708046357676
13.194170195048,2.1470616331881
13.2169457306315,2.14704296389972
13.239721266215,2.14702445429843
13.2624968017985,2.14700610298401
13.285272337382,2.14698790856884
13.3080478729655,2.14696986967778
13.330823408549,2.14695198494818
13.3535989441325,2.14693425302981
13.376374479716,2.14691667258464
13.3991500152995,2.14689924228662
13.421925550883,2.14688196082172
13.4447010864665,2.14686482688789
13.46747662205,2.1468478391948
13.4902521576335,2.14683099646368
13.513027693217,2.1468142974273
13.5358032288005,2.14679774083001
13.558578764384,2.14678132542741
13.5813542999675,2.14676504998623
13.604129835551,2.14674891328435
13.6269053711345,2.14673291411074
13.649680906718,2.14671705126526
13.6724564423015,2.14670132355845
13.6952319778849,2.14668572981161
13.7180075134684,2.14667026885672
13.7407830490519,2.14665493953621
13.7635585846354,2.14663974070285
13.7863341202189,2.14662467121973
13.8091096558024,2.14660972996025
13.8318851913859,2.14659491580786
13.8546607269694,2.14658022765599
13.8774362625529,2.14656566440797
13.9002117981364,2.1465512249771
13.9229873337199,2.14653690828634
13.9457628693034,2.14652271326826
13.9685384048869,2.14650863886499
13.9913139404704,2.14649468402823
14.0140894760539,2.14648084771901
14.0368650116374,2.1464671289076
14.0596405472209,2.14645352657348
14.0824160828044,2.14644003970536
14.1051916183879,2.14642666730094
